년,서울특별시,부산광역시,대구광역시,인천광역시 강화,인천광역시 백령도,인천,광주광역시,대전광역시,울산광역시,경기도 동두천,경기도 수원,경기도 양평,경기도 이천,강원특별자치도 강릉,강원특별자치도 대관령,강원특별자치도 동해,강원특별자치도 속초,강원특별자치도 영월,강원특별자치도 원주,강원특별자치도 인제,강원특별자치도 철원,강원특별자치도 춘천,강원특별자치도 태백,강원특별자치도 홍천,충청북도 보은,충청북도 제천,충청북도 청주,충청북도 추풍령,충청북도 충주,충청남도 금산,충청남도 보령,충청남도 부여,충청남도 서산,충청남도 천안,전북특별자치도 군산,전북특별자치도 남원,전북특별자치도 부안,전북특별자치도 임실,전북특별자치도 장수,전북특별자치도 전주,전북특별자치도 정읍,전라남도 고흥,전라남도 목포,전라남도 여수,전라남도 완도,전라남도 장흥,전라남도 해남,전라남도 흑산도,경상북도 구미,경상북도 문경,경상북도 봉화,경상북도 안동,경상북도 영덕,경상북도 영주,경상북도 영천,경상북도 울릉도,경상북도 울진,경상북도 의성,경상북도 포항,경상남도 거제,경상남도 거창,경상남도 남해,경상남도 밀양,경상남도 산청,경상남도 진주,경상남도 창원,경상남도 통영,경상남도 합천,제주특별자치도 고산,제주특별자치도 서귀포,제주특별자치도 성산,제주
2010,2043.5,1441.9,1204.5,1759.2,1050.5,1777.7,1573.1,1419.7,1161.6,1939.5,1470.6,1902.5,1429.6,1102.8,1217.3,1049.1,1283.6,1341.2,1462.2,1354.1,1867.5,1581.4,1120.3,1305.5,1262.9,1545.2,1422.4,1260.4,1212.3,1403.7,1502.3,1378.3,2141.8,1378.3,1347.5,1423.3,1253.6,1795.1,1888.8,1462.3,1748.3,1533.2,1335.7,1733.1,1895.3,1748.8,1495.5,1478.1,1153.5,1238,1066.7,1073.8,868,1236.3,1030,1448.3,784.9,1062.1,927.4,1959.7,1548.5,2160.2,1251.5,2189.5,1896,1766.9,1397.8,1547.1,1361.8,2393.3,2086.8,1584.9
2011,2039.3,1478.6,1430.4,2063.5,988.1,1725.5,1300.3,1943.4,1233.2,2311.2,1975.9,2198.5,2045,1810.5,1762.1,1765.7,1656.1,2085.7,2188,1778.5,1656.3,2029.3,1973,1639.6,1810.7,2230.5,1805.6,1401.8,2073.3,1798.5,1743,2014.7,1704.4,1845.8,1634.2,1342.5,1237.7,1700,1811.5,1621.8,1654,1716.1,982.1,1650.4,1363.2,1583.8,1498.9,830.7,1204.3,1666.1,1589.9,1251.5,1008.5,1729.3,1127.1,1795.8,1376.6,1130.5,1089.9,1734.6,1321.3,2183.4,1529.8,2013.1,2026.4,1514,1524.9,1624.5,961.3,2010.2,1865.7,1478.6
2012,1646.3,1983.3,1189.9,1357.5,892.3,1415.1,1626.8,1409.5,1458.1,1383.9,1748.3,1532,1559.2,1321.4,1288.7,1123.3,1217.7,1398.8,1378.5,1023.6,1317.7,1324.3,1523.4,1277.8,1522.3,1381.3,1387.6,1465.8,1290.3,1434.5,1319,1545.8,1642.6,1336.7,1659.5,1518.1,1503.7,1503.9,1910.8,1359.7,1473.4,1791.9,1577.5,1825.1,1710.3,1774.7,1695.4,1645.2,1309.6,1395.5,1220.2,1047,1119,1431,1316,1777.1,1101.3,1007.9,1333.7,2037,1538.8,2208.7,1370.4,1914.2,1752.9,1559.4,1611.2,1795.4,1418.1,2700.8,2458.4,2248.3
2013,1403.8,1130.1,996.4,1273.5,863.5,1186.6,1245.4,1120.2,858.3,1470.9,1240.1,1683.1,1366.6,921.7,1052.3,964.2,1115.7,1238.3,1501.1,1332.1,1758.9,1738.9,922.4,1302.7,1125.9,1437.1,1240.7,920.6,1102.6,996.8,1387.7,1236.3,1018.7,1095.6,1092.4,1396.6,1157.9,1400,1574.2,1264.7,1061.9,1182.8,1089.7,1200.8,1253.5,1157.3,1077.7,1093.7,895.2,1273.6,1067.4,979.9,863.4,1180.8,971.7,1265.9,994.1,851,905.2,1256.3,1085.8,1590.5,1036.5,1253.6,1220.6,1110,1161.9,1276,697.1,1086.6,1364,859.1
2014,808.9,1693.1,1072.1,605.8,391.9,788.1,1290.3,1117.7,1398.7,741.6,1029.1,790.1,791.5,1388.7,1308.2,1411.1,1099,876.5,801.3,705.2,684.4,674.4,1170.9,703.5,1089.2,913.6,913.7,1136.4,899.6,1131,1010.1,1142.1,1000.1,1020.1,1141,1259.5,1188.5,1340.5,1321.4,1206.3,1261.2,1851.4,1087.7,1575.3,1862.6,1546,1173.1,1186.7,1222.8,1006,991.7,960.4,1234.3,1156.4,1193.9,1531.4,1282.6,869.4,1338,2257.1,1242.4,2058.4,1212.4,1538.9,1644.9,1525.8,1697.1,1292.1,1271.6,2473.2,2241,1563.4
2015,792.1,1396.7,908.5,647.9,601.5,652,1049.6,822.7,1044.6,988.5,751.1,801.5,842.5,1047.4,981.9,911.2,1127.7,676,903.8,755.7,1094.9,757.8,882.8,740,817,803.4,756.9,829,731.8,877.6,785.4,848.8,815.9,728,895.8,869,924.1,843.1,1012.2,813.5,988.5,1379.7,1041.6,1250.5,1638.5,1161,1157.8,1085.8,779,765.3,589.2,755.1,811.3,771.2,838.7,1393.5,819.1,596.5,919.5,1778.4,1031.2,1789.3,951.3,1397.2,1324.8,1110.7,1463.8,1044.5,1546.4,2618.1,2542.2,1728.3
2016,991.7,1760.2,1227.3,1100.9,734,864.3,1482.3,1228.4,1693.9,1087.2,1023.4,935.9,870.2,1258.2,1184,924.5,1333.8,940.4,874.6,1185.7,1180.9,1333.8,1141.4,967.9,1291.6,1107.9,938,1147.1,917.1,1325.6,792.8,1129.3,922.1,1004.8,1144.4,1388.5,1075.5,1326.5,1485.8,1117.7,1279.5,1641.9,1398,1616.6,1608.4,1513.2,1360.2,1183.1,1208,1193.8,1044.8,934.4,1088.3,1263.3,1175.2,2050.4,1196.3,1017.5,1515.4,2262.6,1229.8,2400.8,1568.2,1530,1734.6,1893,1993.7,1505.6,1293.1,2204.5,2255.9,1416.4
2017,1233.2,1014.4,663.7,809.3,335.1,1028.9,936.6,1127.5,671.4,989.7,1328.6,1188.4,1020,1081.9,1025.3,985.7,1208.2,996.1,1063.6,1209.3,1233.4,1217.2,933.8,1192.2,1322.8,1070.7,1301.2,921.8,1072.9,967.6,856.2,1112,830.4,1305,774.4,851.3,906.5,958.3,1128.1,947.8,938.2,1115.4,722.5,1019.6,958.1,969.7,725.3,746.9,688.6,1292.8,795.3,938.8,880.3,1055.3,713.9,1181.7,857.5,691.7,674.3,1411.1,782.8,1157.8,558.1,770.8,766.7,879.3,1249.4,780,861.3,1334,1917.7,773.3
2018,1284.1,1778.6,1297.6,1072.3,831.1,1134.4,1427.9,1542.1,1416.1,1500,1293.1,1355.4,1425.5,1599.4,1731.4,1436.5,1777,1360.8,1229.2,1214.3,1480.6,1401.5,1489.3,1348.6,1409.5,1409.3,1381.6,1304.2,1349.1,1397.2,1337.2,1457.9,1227.2,1163.4,1637.1,1431.7,1359,1468.2,1665,1332.5,1305,1458.8,1363.3,1578.7,1431.4,1410.9,1297.1,1516.2,1410.1,1360.1,1290.7,1078,1365.4,1591.5,1149.8,1586.4,1436.2,1079.4,1284.3,2507.6,1215.6,2203.6,1337,1601.5,1605.4,1507.3,2118.7,1479.4,1345.8,2166.2,2146.7,1769.5
2019,891.3,1623.2,995.7,1079.3,595.4,919.5,1085.9,984.2,1450.1,1028.1,915.8,1038.6,997.5,1670.5,1198.5,1532.8,1355.5,830.4,771.9,779.3,920.5,923.2,1169.8,871.4,1046.2,843,856.7,1164.1,795.5,982.6,821.9,992,915,845.6,1008.1,1332.8,1087.5,1069.7,1262.8,968.9,1246.7,1676.5,1248.4,1529.9,1678.8,1517.4,1222,1079.1,1133.2,1082.5,1005.8,867.8,1455.9,996.4,1038,1367.4,1581.2,831.3,1425.1,2268.7,1232.4,2171.7,1181.1,1769.9,1481.6,1587,1684.6,1417.6,1560.9,2210.3,2658.1,1979.9
2020,1651.1,2281.6,1244.9,1436.9,1258.4,1311.9,2027,1614,1557.9,1641.9,1635.5,1366.4,1668.8,1812.9,1755.8,1322.4,2085.8,1344.1,1317,1429.1,1749.3,1550.9,1530.1,1485.8,1768.8,1551.8,1358.6,1554,1446.5,1758.2,1301.9,1624.8,1488.7,1443.5,1664.8,2007.2,1694.8,1869.8,2126,1780.8,1718.9,1520.2,1427.7,1751.9,1580.7,1692.2,1450.3,1187.2,1469.5,1694.4,1297.3,1211.8,1308.8,1499.9,1234.5,1462,1336.2,1128.9,1238.9,2481.8,1726.7,2258,1398.8,2136.8,1812.7,1672.8,2137.7,1733.5,1228.9,2089.6,2116.2,1389.5
2021,1186.5,1807.8,910,1013.6,1119.8,1071.8,1303.8,1109.5,1337,1035.6,1084.4,1018.9,1076.6,1316.4,1027.3,1244.6,1199.7,1106.4,1113,923,1115.3,1045.9,1207.4,950.3,1097.7,1162.2,1001.6,1129.1,1365.5,1290.1,1107.9,1123.4,1207.3,1058.9,1151.7,1136.8,1354,1259.2,1345.2,1496.6,1354.6,1339.8,1101,1571.2,1607.2,1475.5,1387.9,919.5,1098,1367.3,1129.1,974,1287,1346.5,1094.2,1533,1158.9,961.7,1405.7,2227.9,1080.2,1981.4,1202.5,1142.8,1395,1710.6,1800.1,1146.4,1387.9,2136.2,2086.3,1627.7
2022,1775.3,991.9,581,1561.8,1021.1,1620.5,769.9,1203.1,926.1,1922.6,1864,2143.4,1537.3,1465.5,1361.2,1101.4,1637.3,1288.7,1394,1497.5,1752.7,1728.4,1088.9,1707.7,1043.5,1476.6,1236.4,928.6,1464.2,948.7,1348.2,1301.1,1570.7,1080.7,1043.4,811.4,971.2,966.7,982.6,1071.5,979.3,929.7,739.9,1067.4,704.4,915.9,794.5,668.2,792.9,1041.8,1014.3,655.7,802.2,1083.8,676,1211.4,1100,615.1,1061.6,1294.1,638.8,1338.2,843.2,971.4,966.2,1049.9,987.8,794.3,1257.6,1561.3,1555,1075.8
2023,1598.8,2191.4,1321.8,1377.3,938,1331.4,2116.1,2042.5,1642.9,1412.7,1409.4,1538.4,1633.4,1568.3,1291.8,1356.8,1768.8,1507.5,1391.7,1225.6,1467.2,1389.8,1525.8,1392.4,1870.4,1765.7,1805.6,1551.5,1661.6,1800.9,1726.7,2165,1529.7,1502.5,2120.8,1805.7,1853.6,1984.4,2168.1,1986.6,1937.7,1702,1577.9,1935.4,1715.3,1985.1,1619.3,1366.9,1772.6,1942.7,1828.7,1518.7,1228.7,2216.1,1296,1527.4,1317,1575.4,1112.2,2585.5,1625.4,2699.2,1874,1938.2,2304.8,2161.1,2134.3,1771.4,1400,2220.7,2099.1,1444.9
2024,1311.4,1945.7,1156.4,1339.5,857.9,1060.8,1291,1360.5,1298,1170.6,1378.2,1347.2,1706.7,1400.2,1169.7,1275,1234.1,1316.7,1374.5,1094.1,1645.7,1219.6,1327.4,1244.7,1252.8,1432.8,1534.9,1231.5,1448,1416.2,1494.3,1334.2,1806.1,1476.9,1477.5,1416,1168.2,1439.9,1644.3,1357.9,1226.7,1696.8,1285.2,1710.4,1963.7,1884,1504,1102.9,995.7,1400,1241.7,1070.6,848.4,1399.2,1147.9,1953.6,1017.3,970,1089.4,2213.4,1226,2375.1,1200.9,1513.5,1856.6,2016.8,1936.5,1267.2,1415.1,2247.3,2455.3,1597.7
